"Gene","Non-unique Gene name","Annotation","Number_pos_present_in","Number_neg_present_in","Number_pos_not_present_in","Number_neg_not_present_in","Sensitivity","Specificity","Odds_ratio","Naive_p","Bonferroni_p","Benjamini_H_p","Max_Pairwise_comparisons","Max_supporting_pairs","Max_opposing_pairs","Best_pairwise_comp_p","Worst_pairwise_comp_p"
"WP_011681580.1","","YutD family protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014608689.1","","ABC transporter ATP-binding protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014608716.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014621997.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011681678.1","","DUF4651 domain-containing protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_224103197.1","","CPBP family intramembrane metalloprotease","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_002948269.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011681744.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_002952222.1","","GlsB/YeaQ/YmgE family stress response membrane protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011681747.1","","CsbD family protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_231102076.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011681749.1","","DUF4097 family beta strand repeat-containing protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011681756.1","","membrane protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011681757.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014727516.1","","radical SAM protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011681743.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_024704299.1","","MFS transporter","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_224107488.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014621226.1","","SH3 domain-containing protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_024009797.1","","LPXTG cell wall anchor domain-containing protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_023909938.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"group_3","","transposase family protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011225465.1","","amino acid ABC transporter substrate-binding protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014608301.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011681188.1","","LysM peptidoglycan-binding domain-containing protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_041827356.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_024704156.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014621731.1","","transposase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014608505.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_228614841.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011681625.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_002948953.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_002948596.1","","serine hydrolase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"tilS","","tRNA lysidine(34) synthetase TilS","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"ftsH","","ATP-dependent zinc metalloprotease FtsH","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"mreD","","rod shape-determining protein MreD","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011680595.1","","CHAP domain-containing protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_002949050.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"ruvA","","Holliday junction branch migration protein RuvA","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011680604.1","","DNA-3-methyladenine glycosylase I","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011680607.1","","DNA polymerase III subunit alpha","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014727288.1","","aminopeptidase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_023909319.1","","ATP-dependent Clp protease ATP-binding subunit","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"pbp3","","D-alanyl-D-alanine carboxypeptidase PBP3","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"pnp","","polyribonucleotide nucleotidyltransferase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011680618.1","","SseB family protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_002948458.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011680624.1","","DegV family protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011226761.1","","2-dehydropantoate 2-reductase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011225326.1","","D-alanyl-D-alanine carboxypeptidase family protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011225331.1","","bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011680651.1","","cyclopropane-fatty-acyl-phospholipid synthase family protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_002949220.1","","sigma-70 family RNA polymerase sigma factor","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011680655.1","","NUDIX hydrolase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_002949236.1","","16S rRNA (uracil(1498)-N(3))-methyltransferase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"dtd","","D-aminoacyl-tRNA deacylase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"mecA","","adaptor protein MecA","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014607905.1","","zinc-dependent MarR family transcriptional regulator","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014607908.1","","AEC family transporter","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011225395.1","","preprotein translocase subunit YajC","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"groES","","co-chaperone GroES","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_224102989.1","","DUF2752 domain-containing protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014607922.1","","RluA family pseudouridine synthase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"group_6056","rpmG","50S ribosomal protein L33","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014607924.1","","phosphatase PAP2 family protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011225416.1","","DUF805 domain-containing protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"gpsB","","cell division regulator GpsB","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014607934.1","","cell division site-positioning protein MapZ family protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014607935.1","","SNF2 family helicase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011225424.1","","hypothetical protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"mltG","","endolytic transglycosylase MltG","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014607944.1","","TetR family transcriptional regulator C-terminal domain-containing protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014607945.1","","nucleoside-triphosphate diphosphatase","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014607946.1","","CBS domain-containing protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"xerD","","site-specific tyrosine recombinase XerD","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014607948.1","","segregation/condensation protein A","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_014607953.1","","helix-turn-helix domain-containing protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_011225463.1","","MFS transporter","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_002949597.1","","MetQ/NlpA family ABC transporter substrate-binding protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_024704187.1","","methionine ABC transporter ATP-binding protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"sstT","","serine/threonine transporter SstT","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
"WP_002946492.1","","TrkA family potassium uptake protein","6","0","0","20","100.0","100.0","inf","4.343482604352166e-06","0.15370716240281446","0.00030618956653947105","1","1","0","1.0","1.0"
