"","repgenome","leng","LTgroup"
"41","N09200_LS_s2742601_u2742601_fna",1,"N09200_LS_s2742601_u2742601_fna"
"42","N06138_LS_s0001598_u0001598_fna",1,"N06138_LS_s0001598_u0001598_fna"
"43","N06575_LS_s0001613_u0001613_fna",1,"N06575_LS_s0001613_u0001613_fna"
"44","N06416_LS_s0001598_u0001598_fna",4,"N06414_LS_s0001598_u0001598_fna,N06416_LS_s0001598_u0001598_fna,N06413_LS_s0001598_u0001598_fna,N06415_LS_s0001598_u0001598_fna,"
"45","N08393_LS_s0097478_u0097478_fna",2,"N10225_LS_s0097478_u1130798_fna,N08393_LS_s0097478_u0097478_fna,"
"46","N06505_LS_s0001613_u0001613_fna",2,"N06550_LS_s0001613_u0001613_fna,N06505_LS_s0001613_u0001613_fna,"
"47","N06376_LS_s0001598_u0001598_fna",2,"N06381_LS_s0001598_u0001598_fna,N06376_LS_s0001598_u0001598_fna,"
"48","N06350_LS_s0001598_u0001598_fna",1,"N06350_LS_s0001598_u0001598_fna"
"49","N06216_LS_s0001598_u0001598_fna",10,"N06213_LS_s0001598_u0001598_fna,N06202_LS_s0001598_u0001598_fna,N06205_LS_s0001598_u0001598_fna,N06210_LS_s0001598_u0001598_fna,N06208_LS_s0001598_u0001598_fna,N06201_LS_s0001598_u0001598_fna,N06206_LS_s0001598_u0001598_fna,N06209_LS_s0001598_u0001598_fna,N06216_LS_s0001598_u0001598_fna,N06207_LS_s0001598_u0001598_fna,"
"50","N06516_LS_s0001613_u0001613_fna",1,"N06516_LS_s0001613_u0001613_fna"
"51","N06250_LS_s0001598_u0001598_fna",1,"N06250_LS_s0001598_u0001598_fna"
"52","N06298_LS_s0001598_u0001598_fna",1,"N06298_LS_s0001598_u0001598_fna"
"53","N06386_LS_s0001598_u0001598_fna",6,"N06386_LS_s0001598_u0001598_fna,N06383_LS_s0001598_u0001598_fna,N06387_LS_s0001598_u0001598_fna,N06382_LS_s0001598_u0001598_fna,N06388_LS_s0001598_u0001598_fna,N06384_LS_s0001598_u0001598_fna,"
"54","N06246_LS_s0001598_u0001598_fna",1,"N06246_LS_s0001598_u0001598_fna"
"55","N06283_LS_s0001598_u0001598_fna",3,"N06283_LS_s0001598_u0001598_fna,N06276_LS_s0001598_u0001598_fna,N06279_LS_s0001598_u0001598_fna,"
"56","N06313_LS_s0001598_u0001598_fna",3,"N06316_LS_s0001598_u0001598_fna,N06318_LS_s0001598_u0001598_fna,N06313_LS_s0001598_u0001598_fna,"
"57","N06131_LS_s0001598_u0001598_fna",1,"N06131_LS_s0001598_u0001598_fna"
"58","N06339_LS_s0001598_u0001598_fna",2,"N06345_LS_s0001598_u0001598_fna,N06339_LS_s0001598_u0001598_fna,"
"59","N06514_LS_s0001613_u0001613_fna",1,"N06514_LS_s0001613_u0001613_fna"
"60","N06421_LS_s0001598_u0001598_fna",5,"N06421_LS_s0001598_u0001598_fna,N06419_LS_s0001598_u0001598_fna,N06422_LS_s0001598_u0001598_fna,N06418_LS_s0001598_u0001598_fna,N06420_LS_s0001598_u0001598_fna,"
"61","N06329_LS_s0001598_u0001598_fna",4,"N06328_LS_s0001598_u0001598_fna,N06327_LS_s0001598_u0001598_fna,N06331_LS_s0001598_u0001598_fna,N06329_LS_s0001598_u0001598_fna,"
"62","N06296_LS_s0001598_u0001598_fna",1,"N06296_LS_s0001598_u0001598_fna"
"63","N06568_LS_s0001613_u0001613_fna",4,"N06574_LS_s0001613_u0001613_fna,N06580_LS_s0001613_u0001613_fna,N06521_LS_s0001613_u0001613_fna,N06568_LS_s0001613_u0001613_fna,"
"64","N06301_LS_s0001598_u0001598_fna",1,"N06301_LS_s0001598_u0001598_fna"
"65","N06307_LS_s0001598_u0001598_fna",1,"N06307_LS_s0001598_u0001598_fna"
"66","N06372_LS_s0001598_u0001598_fna",2,"N06375_LS_s0001598_u0001598_fna,N06372_LS_s0001598_u0001598_fna,"
"67","N06195_LS_s0001598_u0001598_fna",1,"N06195_LS_s0001598_u0001598_fna"
"68","N06154_LS_s0001598_u0001598_fna",1,"N06154_LS_s0001598_u0001598_fna"
"69","N06312_LS_s0001598_u0001598_fna",3,"N06312_LS_s0001598_u0001598_fna,N06315_LS_s0001598_u0001598_fna,N06314_LS_s0001598_u0001598_fna,"
"70","N06255_LS_s0001598_u0001598_fna",1,"N06255_LS_s0001598_u0001598_fna"
"71","N08387_LS_s0097478_u0097478_fna",1,"N08387_LS_s0097478_u0097478_fna"
"72","N06363_LS_s0001598_u0001598_fna",6,"N06368_LS_s0001598_u0001598_fna,N06365_LS_s0001598_u0001598_fna,N06357_LS_s0001598_u0001598_fna,N06362_LS_s0001598_u0001598_fna,N06363_LS_s0001598_u0001598_fna,N06361_LS_s0001598_u0001598_fna,"
"73","N06527_LS_s0001613_u0001613_fna",1,"N06527_LS_s0001613_u0001613_fna"
"74","N06212_LS_s0001598_u0001598_fna",4,"N06407_LS_s0001598_u0001598_fna,N06214_LS_s0001598_u0001598_fna,N06212_LS_s0001598_u0001598_fna,N06215_LS_s0001598_u0001598_fna,"
"75","N06399_LS_s0001598_u0001598_fna",2,"N06398_LS_s0001598_u0001598_fna,N06399_LS_s0001598_u0001598_fna,"
"76","N08506_LS_s0148604_u0148604_fna",1,"N08506_LS_s0148604_u0148604_fna"
"77","N06340_LS_s0001598_u0001598_fna",2,"N06341_LS_s0001598_u0001598_fna,N06340_LS_s0001598_u0001598_fna,"
"78","N06275_LS_s0001598_u0001598_fna",1,"N06275_LS_s0001598_u0001598_fna"
"79","N06220_LS_s0001598_u0001598_fna",1,"N06220_LS_s0001598_u0001598_fna"
"80","N08768_LS_s0227943_u0227943_fna",1,"N08768_LS_s0227943_u0227943_fna"
"81","N06519_LS_s0001613_u0001613_fna",1,"N06519_LS_s0001613_u0001613_fna"
"82","N09244_LS_s2759752_u2759752_fna",3,"N09244_LS_s2759752_u2759752_fna,N09246_LS_s2759752_u2759752_fna,N09247_LS_s2759752_u2759752_fna,"
"83","N09234_LS_s2759747_u2759747_fna",2,"N09236_LS_s2759747_u2759747_fna,N09234_LS_s2759747_u2759747_fna,"
"84","N06134_LS_s0001598_u0001598_fna",1,"N06134_LS_s0001598_u0001598_fna"
"85","N10165_LS_s0001632_u0944562_fna",1,"N10165_LS_s0001632_u0944562_fna"
"86","N06854_LS_s0001633_u0001633_fna",1,"N06854_LS_s0001633_u0001633_fna"
"87","N06294_LS_s0001598_u0001598_fna",1,"N06294_LS_s0001598_u0001598_fna"
"88","N06204_LS_s0001598_u0001598_fna",1,"N06204_LS_s0001598_u0001598_fna"
"89","N07695_LS_s0047493_u0047493_fna",1,"N07695_LS_s0047493_u0047493_fna"
"90","N06264_LS_s0001598_u0001598_fna",1,"N06264_LS_s0001598_u0001598_fna"
"91","N06506_LS_s0001613_u0001613_fna",5,"N06570_LS_s0001613_u0001613_fna,N10902_LS_s0001613_u1408443_fna,N06540_LS_s0001613_u0001613_fna,N06491_LS_s0001613_u0001613_fna,N06506_LS_s0001613_u0001613_fna,"
"92","N06548_LS_s0001613_u0001613_fna",1,"N06548_LS_s0001613_u0001613_fna"
"93","N06504_LS_s0001613_u0001613_fna",1,"N06504_LS_s0001613_u0001613_fna"
"94","N06552_LS_s0001613_u0001613_fna",1,"N06552_LS_s0001613_u0001613_fna"
"95","N09249_LS_s2759755_u2759755_fna",3,"N09250_LS_s2759755_u2759755_fna,N09251_LS_s2759755_u2759755_fna,N09249_LS_s2759755_u2759755_fna,"
"96","N06227_LS_s0001598_u0001598_fna",1,"N06227_LS_s0001598_u0001598_fna"
"97","N06247_LS_s0001598_u0001598_fna",1,"N06247_LS_s0001598_u0001598_fna"
"98","N06185_LS_s0001598_u0001598_fna",7,"N06183_LS_s0001598_u0001598_fna,N06184_LS_s0001598_u0001598_fna,N06182_LS_s0001598_u0001598_fna,N06180_LS_s0001598_u0001598_fna,N06185_LS_s0001598_u0001598_fna,N06181_LS_s0001598_u0001598_fna,N06186_LS_s0001598_u0001598_fna,"
"99","N06200_LS_s0001598_u0001598_fna",1,"N06200_LS_s0001598_u0001598_fna"
"100","N06558_LS_s0001613_u0001613_fna",1,"N06558_LS_s0001613_u0001613_fna"
"101","N06162_LS_s0001598_u0001598_fna",2,"N06160_LS_s0001598_u0001598_fna,N06162_LS_s0001598_u0001598_fna,"
"102","N10938_LS_s0227942_u1423749_fna",2,"N08766_LS_s0227942_u0227942_fna,N10938_LS_s0227942_u1423749_fna,"
"103","N06559_LS_s0001613_u0001613_fna",1,"N06559_LS_s0001613_u0001613_fna"
"104","N10694_LS_s0148604_u1203076_fna",1,"N10694_LS_s0148604_u1203076_fna"
"105","N06338_LS_s0001598_u0001598_fna",2,"N06335_LS_s0001598_u0001598_fna,N06338_LS_s0001598_u0001598_fna,"
"106","N06503_LS_s0001613_u0001613_fna",1,"N06503_LS_s0001613_u0001613_fna"
"107","N06300_LS_s0001598_u0001598_fna",2,"N06230_LS_s0001598_u0001598_fna,N06300_LS_s0001598_u0001598_fna,"
"108","N06347_LS_s0001598_u0001598_fna",1,"N06347_LS_s0001598_u0001598_fna"
"109","N10936_LS_s0104955_u1423746_fna",3,"N08395_LS_s0104955_u0104955_fna,N08394_LS_s0104955_u0104955_fna,N10936_LS_s0104955_u1423746_fna,"
"110","N06526_LS_s0001613_u0001613_fna",1,"N06526_LS_s0001613_u0001613_fna"
"111","N06394_LS_s0001598_u0001598_fna",3,"N06390_LS_s0001598_u0001598_fna,N06389_LS_s0001598_u0001598_fna,N06394_LS_s0001598_u0001598_fna,"
"112","N08392_LS_s0097478_u0097478_fna",1,"N08392_LS_s0097478_u0097478_fna"
"113","N08391_LS_s0097478_u0097478_fna",2,"N08383_LS_s0097478_u0097478_fna,N08391_LS_s0097478_u0097478_fna,"
"114","N06120_LS_s0001598_u0001598_fna",1,"N06120_LS_s0001598_u0001598_fna"
"115","N09239_LS_s2759748_u2759748_fna",2,"N09243_LS_s2759748_u2759748_fna,N09239_LS_s2759748_u2759748_fna,"
"116","N10082_LS_s0001613_u0712938_fna",6,"N06510_LS_s0001613_u0001613_fna,N06572_LS_s0001613_u0001613_fna,N10082_LS_s0001613_u0712938_fna,N06512_LS_s0001613_u0001613_fna,N06579_LS_s0001613_u0001613_fna,N06562_LS_s0001613_u0001613_fna,"
"117","N06571_LS_s0001613_u0001613_fna",4,"N06545_LS_s0001613_u0001613_fna,N09975_LS_s0001613_u0525325_fna,N06529_LS_s0001613_u0001613_fna,N06571_LS_s0001613_u0001613_fna,"
"118","N06537_LS_s0001613_u0001613_fna",1,"N06537_LS_s0001613_u0001613_fna"
"119","N06385_LS_s0001598_u0001598_fna",1,"N06385_LS_s0001598_u0001598_fna"
"120","N06534_LS_s0001613_u0001613_fna",1,"N06534_LS_s0001613_u0001613_fna"
"121","N06323_LS_s0001598_u0001598_fna",3,"N06322_LS_s0001598_u0001598_fna,N06326_LS_s0001598_u0001598_fna,N06323_LS_s0001598_u0001598_fna,"
"122","N06235_LS_s0001598_u0001598_fna",1,"N06235_LS_s0001598_u0001598_fna"
"123","N06509_LS_s0001613_u0001613_fna",1,"N06509_LS_s0001613_u0001613_fna"
"124","N06145_LS_s0001598_u0001598_fna",5,"N06152_LS_s0001598_u0001598_fna,N06143_LS_s0001598_u0001598_fna,N06148_LS_s0001598_u0001598_fna,N06144_LS_s0001598_u0001598_fna,N06145_LS_s0001598_u0001598_fna,"
"125","N09199_LS_s2742601_u2742601_fna",1,"N09199_LS_s2742601_u2742601_fna"
"126","N09248_LS_s2759752_u2759752_fna",2,"N09245_LS_s2759752_u2759752_fna,N09248_LS_s2759752_u2759752_fna,"
"127","N06309_LS_s0001598_u0001598_fna",2,"N06310_LS_s0001598_u0001598_fna,N06309_LS_s0001598_u0001598_fna,"
"128","N06278_LS_s0001598_u0001598_fna",2,"N06277_LS_s0001598_u0001598_fna,N06278_LS_s0001598_u0001598_fna,"
"129","N06396_LS_s0001598_u0001598_fna",1,"N06396_LS_s0001598_u0001598_fna"
"130","N08915_LS_s0417373_u0417373_fna",3,"N08915_LS_s0417373_u0417373_fna,N10935_LS_s0417373_u1423742_fna,N10934_LS_s0417373_u1423742_fna,"
"131","N09238_LS_s2759748_u2759748_fna",2,"N09241_LS_s2759748_u2759748_fna,N09238_LS_s2759748_u2759748_fna,"
"132","N06557_LS_s0001613_u0001613_fna",1,"N06557_LS_s0001613_u0001613_fna"
"133","N06392_LS_s0001598_u0001598_fna",1,"N06392_LS_s0001598_u0001598_fna"
"134","N06539_LS_s0001613_u0001613_fna",2,"N06497_LS_s0001613_u0001613_fna,N06539_LS_s0001613_u0001613_fna,"
"135","N06531_LS_s0001613_u0001613_fna",2,"N09913_LS_s0001613_u0334390_fna,N06531_LS_s0001613_u0001613_fna,"
"136","N06352_LS_s0001598_u0001598_fna",1,"N06352_LS_s0001598_u0001598_fna"
"137","N06563_LS_s0001613_u0001613_fna",1,"N06563_LS_s0001613_u0001613_fna"
"138","N06397_LS_s0001598_u0001598_fna",1,"N06397_LS_s0001598_u0001598_fna"
"139","N06542_LS_s0001613_u0001613_fna",1,"N06542_LS_s0001613_u0001613_fna"
"140","N06549_LS_s0001613_u0001613_fna",3,"N06549_LS_s0001613_u0001613_fna,N06517_LS_s0001613_u0001613_fna,N06544_LS_s0001613_u0001613_fna,"
"141","N08968_LS_s0990412_u0990412_fna",1,"N08968_LS_s0990412_u0990412_fna"
"142","N06523_LS_s0001613_u0001613_fna",2,"N06492_LS_s0001613_u0001613_fna,N06523_LS_s0001613_u0001613_fna,"
"143","N06252_LS_s0001598_u0001598_fna",1,"N06252_LS_s0001598_u0001598_fna"
"144","N06321_LS_s0001598_u0001598_fna",1,"N06321_LS_s0001598_u0001598_fna"
"145","N10351_LS_s0227942_u1144300_fna",1,"N10351_LS_s0227942_u1144300_fna"
"146","N06325_LS_s0001598_u0001598_fna",2,"N06324_LS_s0001598_u0001598_fna,N06325_LS_s0001598_u0001598_fna,"
"147","N06507_LS_s0001613_u0001613_fna",1,"N06507_LS_s0001613_u0001613_fna"
"148","N06225_LS_s0001598_u0001598_fna",1,"N06225_LS_s0001598_u0001598_fna"
"149","N06151_LS_s0001598_u0001598_fna",1,"N06151_LS_s0001598_u0001598_fna"
"150","N06308_LS_s0001598_u0001598_fna",1,"N06308_LS_s0001598_u0001598_fna"
"151","N06538_LS_s0001613_u0001613_fna",1,"N06538_LS_s0001613_u0001613_fna"
"152","N06121_LS_s0001598_u0001598_fna",1,"N06121_LS_s0001598_u0001598_fna"
"153","N06155_LS_s0001598_u0001598_fna",1,"N06155_LS_s0001598_u0001598_fna"
"154","N06576_LS_s0001613_u0001613_fna",2,"N06577_LS_s0001613_u0001613_fna,N06576_LS_s0001613_u0001613_fna,"
"155","N09933_LS_s0001598_u0349123_fna",2,"N06377_LS_s0001598_u0001598_fna,N09933_LS_s0001598_u0349123_fna,"
"156","N07540_LS_s0035787_u0035787_fna",2,"N10968_LS_s0035787_u1423794_fna,N07540_LS_s0035787_u0035787_fna,"
"157","N10052_LS_s0181675_u0575594_fna",1,"N10052_LS_s0181675_u0575594_fna"
"158","N06149_LS_s0001598_u0001598_fna",1,"N06149_LS_s0001598_u0001598_fna"
"159","N09087_LS_s1970790_u1970790_fna",1,"N09087_LS_s1970790_u1970790_fna"
"160","N10959_LS_s0047493_u1423782_fna",2,"N10960_LS_s0047493_u1423782_fna,N10959_LS_s0047493_u1423782_fna,"
"161","N09233_LS_s2759747_u2759747_fna",1,"N09233_LS_s2759747_u2759747_fna"
"162","N08769_LS_s0227943_u0227943_fna",1,"N08769_LS_s0227943_u0227943_fna"
"163","N06194_LS_s0001598_u0001598_fna",2,"N06193_LS_s0001598_u0001598_fna,N06194_LS_s0001598_u0001598_fna,"
"164","N06133_LS_s0001598_u0001598_fna",1,"N06133_LS_s0001598_u0001598_fna"
"165","N06127_LS_s0001598_u0001598_fna",5,"N06127_LS_s0001598_u0001598_fna,N06128_LS_s0001598_u0001598_fna,N06130_LS_s0001598_u0001598_fna,N06406_LS_s0001598_u0001598_fna,N06129_LS_s0001598_u0001598_fna,"
"166","N06306_LS_s0001598_u0001598_fna",1,"N06306_LS_s0001598_u0001598_fna"
"167","N06412_LS_s0001598_u0001598_fna",3,"N10132_LS_s0001598_u0863368_fna,N06412_LS_s0001598_u0001598_fna,N06266_LS_s0001598_u0001598_fna,"
"168","N06228_LS_s0001598_u0001598_fna",1,"N06228_LS_s0001598_u0001598_fna"
"169","N06499_LS_s0001613_u0001613_fna",1,"N06499_LS_s0001613_u0001613_fna"
"170","N06359_LS_s0001598_u0001598_fna",1,"N06359_LS_s0001598_u0001598_fna"
"171","N06528_LS_s0001613_u0001613_fna",1,"N06528_LS_s0001613_u0001613_fna"
"172","N06156_LS_s0001598_u0001598_fna",2,"N06157_LS_s0001598_u0001598_fna,N06156_LS_s0001598_u0001598_fna,"
"173","N06248_LS_s0001598_u0001598_fna",1,"N06248_LS_s0001598_u0001598_fna"
"174","N06198_LS_s0001598_u0001598_fna",3,"N06199_LS_s0001598_u0001598_fna,N06198_LS_s0001598_u0001598_fna,N06191_LS_s0001598_u0001598_fna,"
"175","N06525_LS_s0001613_u0001613_fna",2,"N06513_LS_s0001613_u0001613_fna,N06525_LS_s0001613_u0001613_fna,"
"176","N06522_LS_s0001613_u0001613_fna",1,"N06522_LS_s0001613_u0001613_fna"
"177","N06141_LS_s0001598_u0001598_fna",1,"N06141_LS_s0001598_u0001598_fna"
"178","N06231_LS_s0001598_u0001598_fna",1,"N06231_LS_s0001598_u0001598_fna"
"179","N08382_LS_s0097478_u0097478_fna",1,"N08382_LS_s0097478_u0097478_fna"
"180","N08767_LS_s0227943_u0227943_fna",3,"N09974_LS_s0227943_u0525309_fna,N09973_LS_s0227943_u0525309_fna,N08767_LS_s0227943_u0227943_fna,"
"181","N06494_LS_s0001613_u0001613_fna",1,"N06494_LS_s0001613_u0001613_fna"
"182","N07539_LS_s0035787_u0035787_fna",1,"N07539_LS_s0035787_u0035787_fna"
"183","N06267_LS_s0001598_u0001598_fna",5,"N06267_LS_s0001598_u0001598_fna,N06221_LS_s0001598_u0001598_fna,N06226_LS_s0001598_u0001598_fna,N06268_LS_s0001598_u0001598_fna,N06269_LS_s0001598_u0001598_fna,"
"184","N09022_LS_s1450649_u1450649_fna",1,"N09022_LS_s1450649_u1450649_fna"
"185","N06234_LS_s0001598_u0001598_fna",2,"N06242_LS_s0001598_u0001598_fna,N06234_LS_s0001598_u0001598_fna,"
"186","N09235_LS_s2759747_u2759747_fna",1,"N09235_LS_s2759747_u2759747_fna"
