neptune seq length/score graph by kmer
k = 10
,length,score
3.262,0.8913,80
2.197,0.8898,67
4.411,0.8882,85
4.287,0.8880,65
3.185,0.8878,74
5.19,0.8863,78
1.330,0.8831,68
5.357,0.8831,64
1.302,0.8829,82
2.138,0.8824,75
2.335,0.8823,78
3.182,0.8808,67
0.322,0.8804,151
0.379,0.8769,72
2.214,0.8748,111
2.154,0.8737,88
2.180,0.8703,74
3.199,0.8687,72
2.142,0.8676,87
0.265,0.8656,144
3.166,0.8643,64
1.46,0.8630,64
3.261,0.8628,78
1.15,0.8613,84
1.355,0.8594,69
2.181,0.8579,76
3.243,0.8571,119
0.133,0.8548,119
1.339,0.8542,64
3.283,0.8541,77
5.329,0.8333,78
0.236,0.8307,77
5.75,0.8283,83
2.349,0.8260,64
2.21,0.8257,72
2.175,0.8257,74
2.128,0.8256,115
2.299,0.8232,64
0.362,0.8223,65
3.301,0.8218,65
3.67,0.8178,74
1.364,0.8122,94
1.213,0.8100,67
3.189,0.8078,90
5.81,0.8064,88
0.138,0.8047,93
1.305,0.8041,101
2.30,0.8033,81
1.106,0.8000,101
4.88,0.7954,109
1.212,0.7921,76
4.317,0.7878,190
2.171,0.7876,67
0.241,0.7867,65
3.310,0.7849,141
1.303,0.7829,84
0.187,0.7815,65
2.144,0.7808,72
5.457,0.7778,69
1.316,0.7775,68
5.10,0.7735,78
4.91,0.7702,66
4.178,0.7622,116
4.101,0.7622,108
1.410,0.7620,110
3.302,0.7618,72
0.139,0.7576,79
1.126,0.7532,79
3.421,0.7529,109
4.232,0.7505,130
0.226,0.7470,141
5.208,0.7460,83
1.319,0.7434,73
0.229,0.7429,112
4.231,0.7408,74
4.90,0.7407,84
0.72,0.7370,82
1.400,0.7284,135
2.193,0.7258,93
5.254,0.7172,66
3.214,0.7163,89
1.344,0.7155,83
3.168,0.7143,104
3.300,0.7114,66
1.315,0.7092,67
1.317,0.7000,65
1.120,0.6952,73
2.8,0.6925,95
2.222,0.6919,165
3.95,0.6906,80
4.281,0.6849,73
5.362,0.6785,65
1.89,0.6724,64
2.169,0.6719,219
4.127,0.6714,173
4.283,0.6699,157
4.431,0.6663,157
2.6,0.6661,88
1.414,0.6649,76
3.54,0.6631,90
0.126,0.6613,65
2.187,0.6599,64
1.262,0.6559,82
5.161,0.6509,93
2.248,0.6505,128
4.269,0.6488,71
2.25,0.6470,84
5.304,0.6461,95
2.231,0.6440,92
4.432,0.6435,84
2.224,0.6420,73
1.413,0.6415,78
0.215,0.6407,95
5.127,0.6358,103
5.372,0.6290,92
2.226,0.6274,78
0.218,0.6235,142
5.311,0.6214,91
5.441,0.6211,75
0.213,0.6186,96
1.127,0.6175,97
2.7,0.6162,107
1.384,0.6095,103
2.24,0.6091,95
0.212,0.6077,93
5.147,0.6077,67
0.23,0.6007,116
0.216,0.5919,105
0.214,0.5814,95
1.169,0.5732,82
1.114,0.5557,76
4.214,0.5447,78
4.340,0.5445,67
0.286,0.5400,70
1.7,0.5387,81
0.285,0.5335,77
3.414,0.5321,69
5.40,0.5231,72
5.353,0.5168,158
2.271,0.5159,66
0.266,0.5159,106
0.132,0.5098,158
5.37,0.5071,70
1.39,0.5068,91
4.220,0.5046,90
5.471,0.5021,80
2.273,0.4996,86
1.42,0.4975,67
0.182,0.4912,68
2.87,0.4887,84
3.249,0.4883,111
2.122,0.4865,74
5.420,0.4838,158
1.115,0.4833,75
2.272,0.4813,84
5.44,0.4758,64
0.239,0.4754,93
5.39,0.4745,70
0.238,0.4707,127
5.303,0.4705,95
5.450,0.4680,74
2.86,0.4655,131
4.384,0.4634,66
5.249,0.4631,171
4.13,0.4613,78
4.355,0.4605,128
5.42,0.4589,86
5.302,0.4550,70
0.253,0.4475,73
5.292,0.4414,74
0.75,0.4378,74
5.248,0.4343,84
2.227,0.4315,74
1.149,0.4245,66
1.382,0.4208,69
5.449,0.4201,73
3.390,0.4194,84
3.285,0.4192,98
5.41,0.4181,70
2.65,0.4164,67
4.421,0.4154,64
0.368,0.4091,66
1.148,0.4072,72
0.255,0.4034,88
3.295,0.4020,85
1.166,0.4018,73
5.62,0.4002,109
5.373,0.3980,102
1.383,0.3975,72
1.387,0.3957,77
0.256,0.3948,86
0.89,0.3902,78
2.274,0.3886,79
0.48,0.3879,159
4.39,0.3878,85
1.290,0.3876,79
1.208,0.3862,64
3.365,0.3860,74
1.185,0.3846,68
0.88,0.3836,68
1.164,0.3807,70
3.328,0.3801,68
3.336,0.3775,80
4.43,0.3760,64
5.38,0.3723,86
4.37,0.3657,70
0.1,0.3654,65
1.49,0.3637,72
4.186,0.3631,71
5.213,0.3628,69
0.64,0.3574,79
1.38,0.3568,73
1.194,0.3540,66
3.246,0.3538,70
1.150,0.3534,97
4.35,0.3532,94
1.151,0.3509,76
3.329,0.3462,96
0.2,0.3443,82
3.364,0.3432,73
3.366,0.3428,115
0.3,0.3386,135
1.216,0.3373,108
3.313,0.3354,170
0.58,0.3354,142
3.16,0.3325,85
0.287,0.3293,104
5.374,0.3265,148
0.90,0.3264,79
0.47,0.3248,147
3.284,0.3229,69
1.19,0.3225,105
5.424,0.3225,74
4.420,0.3200,86
4.425,0.3190,87
1.86,0.3169,127
4.385,0.3167,71
0.254,0.3164,137
5.61,0.3129,119
1.152,0.3126,66
4.436,0.3119,87
4.116,0.3047,124
1.165,0.3014,72
5.468,0.2997,96
1.177,0.2967,101
1.179,0.2881,94
5.466,0.2864,66
5.440,0.2801,94
3.362,0.2776,104
4.45,0.2728,109
5.149,0.2679,65
1.178,0.2633,128
5.423,0.2488,111
4.31,0.2455,70
1.48,0.2036,64
5.464,0.1478,83

k = 19
,length,score
4.1363,0.9876,2241
0.111,0.9856,876
2.17,0.9847,136
2.1172,0.9843,824
1.1378,0.9839,720
1.339,0.9834,522
2.552,0.9830,669
1.512,0.9829,935
3.1001,0.9821,798
3.830,0.9814,1044
1.845,0.9809,839
3.148,0.9779,842
1.1180,0.9777,1108
0.95,0.9763,570
5.74,0.9747,582
0.1213,0.9732,454
5.587,0.9730,536
3.1347,0.9728,171
3.213,0.9724,683
2.1109,0.9708,627
5.855,0.9705,789
1.336,0.9690,615
5.825,0.9688,1005
0.410,0.9679,486
2.742,0.9677,310
4.742,0.9635,184
1.1134,0.9623,418
3.151,0.9600,380
2.861,0.9585,426
1.453,0.9582,173
2.551,0.9579,177
5.127,0.9572,241
3.553,0.9569,361
0.475,0.9568,366
1.1258,0.9560,440
3.1045,0.9554,540
1.1218,0.9552,372
3.551,0.9545,288
3.1370,0.9540,326
4.358,0.9537,237
4.1263,0.9534,1098
4.187,0.9533,91
1.842,0.9530,336
2.732,0.9521,251
4.1413,0.9503,367
0.709,0.9500,310
4.486,0.9475,623
5.75,0.9474,294
4.1246,0.9467,201
3.1372,0.9448,279
1.1463,0.9447,76
3.783,0.9440,345
4.1127,0.9433,247
5.981,0.9430,300
5.580,0.9427,218
1.210,0.9420,245
3.1212,0.9415,285
3.552,0.9415,189
0.1267,0.9411,351
0.378,0.9410,289
0.756,0.9408,476
0.467,0.9403,279
2.161,0.9393,97
3.295,0.9391,240
3.554,0.9371,197
0.263,0.9371,163
4.23,0.9370,336
0.414,0.9344,90
5.725,0.9317,216
0.708,0.9310,196
5.824,0.9309,149
0.1261,0.9307,168
4.496,0.9301,221
1.1356,0.9273,189
0.1432,0.9257,92
3.171,0.9243,631
5.435,0.9240,93
2.987,0.9231,277
1.693,0.9225,175
0.630,0.9219,162
0.1357,0.9216,321
5.514,0.9207,825
4.1361,0.9204,186
1.844,0.9195,205
2.822,0.9186,219
0.1056,0.9185,202
3.251,0.9184,177
3.152,0.9178,129
4.36,0.9174,181
1.174,0.9170,159
3.567,0.9167,300
5.551,0.9160,195
2.308,0.9159,194
2.226,0.9147,93
2.238,0.9135,276
5.409,0.9135,126
0.847,0.9130,298
2.967,0.9124,159
5.46,0.9124,652
3.1136,0.9120,213
1.1333,0.9113,174
2.1108,0.9110,374
5.1338,0.9102,83
5.789,0.9082,153
1.837,0.9073,105
5.1336,0.9063,85
3.316,0.9057,106
2.984,0.9047,88
1.517,0.9035,154
0.873,0.9016,107
3.565,0.9008,180
2.907,0.8965,81
4.1408,0.8959,145
5.809,0.8895,865
2.739,0.8878,78
0.331,0.8877,198
3.1348,0.8845,155
5.799,0.8840,252
5.933,0.8835,107
5.1080,0.8833,90
4.455,0.8822,89
3.729,0.8815,112
4.633,0.8809,202
0.262,0.8795,95
2.1289,0.8783,177
5.1097,0.8777,97
2.460,0.8775,85
0.367,0.8757,173
2.1297,0.8756,140
2.1188,0.8750,92
3.760,0.8719,183
2.1200,0.8688,86
5.949,0.8661,96
3.150,0.8657,191
3.1226,0.8652,129
5.982,0.8648,142
5.952,0.8643,105
3.239,0.8637,158
3.90,0.8600,145
1.771,0.8595,100
3.566,0.8573,124
2.800,0.8572,113
3.953,0.8510,330
0.440,0.8502,81
4.1019,0.8460,99
2.996,0.8448,113
1.397,0.8402,102
3.1371,0.8401,98
2.670,0.8367,142
3.54,0.8328,93
1.1031,0.8299,115
2.128,0.8259,97
1.1220,0.8255,186
4.488,0.8239,83
5.1063,0.8191,1188
0.106,0.8155,100
3.948,0.8154,768
4.1419,0.8140,709
4.296,0.8138,655
5.1008,0.8097,574
1.1208,0.8094,493
3.947,0.8086,197
4.1054,0.8079,970
1.694,0.8078,81
2.1313,0.8063,381
4.1080,0.8039,90
5.446,0.8036,261
4.319,0.8031,534
4.1368,0.8011,324
4.813,0.7998,876
4.243,0.7997,97
5.595,0.7986,622
2.1183,0.7947,365
0.848,0.7943,346
4.1253,0.7913,544
3.1041,0.7888,481
4.1055,0.7887,390
1.1026,0.7871,167
2.969,0.7864,375
0.132,0.7862,76
0.293,0.7859,539
4.938,0.7843,338
5.1006,0.7832,197
3.1094,0.7823,115
2.1182,0.7819,262
5.815,0.7818,160
1.1025,0.7815,412
1.1138,0.7802,223
3.982,0.7798,234
0.377,0.7785,106
1.396,0.7780,797
4.926,0.7755,307
5.733,0.7753,395
4.733,0.7742,151
5.679,0.7738,174
1.422,0.7727,302
2.760,0.7654,402
5.672,0.7653,181
3.597,0.7578,718
2.1311,0.7545,86
0.1308,0.7517,79
4.1065,0.7507,272
2.959,0.7500,87
3.238,0.7477,157
3.1438,0.7474,134
1.421,0.7469,1136
2.782,0.7460,91
4.1219,0.7450,111
1.277,0.7436,123
0.595,0.7431,447
3.776,0.7387,149
3.237,0.7342,130
0.39,0.7322,136
5.1003,0.7308,159
2.407,0.7306,228
5.1009,0.7113,102
4.1020,0.7086,95
5.1007,0.7085,98
5.76,0.7054,175
4.1418,0.7023,476
2.1265,0.7022,93
4.1252,0.6899,112
1.420,0.6882,410
2.812,0.6780,84
3.1440,0.6755,107
2.892,0.6751,262
0.250,0.6698,91
3.1177,0.6634,93
3.1146,0.6561,186
2.351,0.6558,306
5.482,0.6558,780
2.896,0.6551,775
5.424,0.6537,855
5.423,0.6523,869
0.61,0.6520,1011
3.513,0.6520,383
4.674,0.6513,706
5.414,0.6490,400
0.1134,0.6478,782
2.76,0.6472,211
5.967,0.6471,901
2.21,0.6463,422
5.1191,0.6439,412
5.1247,0.6403,597
4.1251,0.6394,93
2.119,0.6394,170
5.1508,0.6394,162
0.1132,0.6392,246
5.459,0.6370,386
2.895,0.6359,139
5.734,0.6346,238
2.1132,0.6318,193
2.22,0.6308,316
1.485,0.6287,188
4.330,0.6286,85
3.630,0.6279,396
5.425,0.6271,154
3.1418,0.6261,447
5.422,0.6255,570
1.828,0.6250,644
4.1485,0.6238,1221
5.874,0.6229,189
5.805,0.6194,453
4.124,0.6187,141
1.484,0.6153,331
4.432,0.6137,328
0.945,0.6105,252
0.480,0.6077,426
3.780,0.5997,123
0.818,0.5996,356
0.482,0.5992,88
2.269,0.5992,99
1.829,0.5991,241
4.753,0.5990,134
2.75,0.5989,186
0.479,0.5959,97
2.121,0.5958,108
5.864,0.5947,126
5.350,0.5931,150
1.1075,0.5901,181
1.1482,0.5796,183
4.481,0.5712,142
2.93,0.5700,142
3.1176,0.5694,90
5.481,0.5691,145
1.406,0.5690,114
2.78,0.5631,97
1.2,0.5613,143
1.440,0.5549,91
2.1135,0.5472,163
5.1379,0.5328,96
1.763,0.5320,98
4.1381,0.5307,432
5.412,0.5305,477
4.1180,0.5280,361
0.20,0.5045,88
3.784,0.5038,157
5.161,0.4977,158
2.373,0.4944,81
0.933,0.4938,266
0.876,0.4912,849
0.973,0.4912,1194
0.964,0.4909,95
4.532,0.4897,554
4.793,0.4880,926
5.820,0.4876,308
0.265,0.4874,163
5.0,0.4856,904
4.702,0.4842,675
1.1055,0.4836,206
0.686,0.4829,517
4.35,0.4817,90
5.1,0.4811,1927
4.1179,0.4801,184
4.703,0.4800,565
4.783,0.4795,243
3.723,0.4782,334
0.1035,0.4776,296
4.792,0.4772,429
1.157,0.4767,389
0.966,0.4738,435
4.1129,0.4730,249
0.685,0.4727,385
2.372,0.4720,438
4.1159,0.4716,185
1.35,0.4714,882
5.19,0.4712,313
0.1411,0.4712,332
2.116,0.4702,299
3.1184,0.4700,384
3.1027,0.4695,88
4.791,0.4680,319
0.875,0.4672,351
1.177,0.4667,252
4.790,0.4664,358
2.167,0.4652,237
5.1143,0.4632,222
2.96,0.4591,503
1.347,0.4584,294
5.366,0.4567,489
4.794,0.4563,189
5.798,0.4544,486
2.468,0.4492,138
1.600,0.4487,301
2.779,0.4443,96
1.1155,0.4434,123
5.112,0.4418,192
5.160,0.4357,115
1.1328,0.4339,258
1.497,0.4283,389
5.1343,0.4258,135
0.891,0.4185,91
0.932,0.4179,84
5.131,0.4096,133
1.1023,0.4067,238
0.77,0.4058,304
1.1342,0.3978,793
0.971,0.3970,146
5.1447,0.3957,646
2.218,0.3887,162
5.1554,0.3791,86
0.837,0.3759,79
5.110,0.3664,161
4.683,0.3617,196
3.59,0.3585,185
3.1250,0.3558,165
3.405,0.3535,275
3.1179,0.3532,129
0.1220,0.3512,234
3.952,0.3441,256
0.156,0.3434,512
1.705,0.3424,88
3.1354,0.3420,414
3.120,0.3386,101
3.177,0.3384,1179
5.1478,0.3381,992
4.1394,0.3380,332
5.111,0.3371,133
1.1024,0.3351,266
4.1447,0.3330,558
0.217,0.3327,197
5.1248,0.3317,252
4.933,0.3315,265
5.899,0.3314,916
1.1507,0.3304,586
1.1106,0.3302,336
3.1172,0.3300,471
1.100,0.3295,148
4.1133,0.3294,817
0.154,0.3287,260
4.1181,0.3286,218
3.1458,0.3286,988
0.1038,0.3284,163
1.1351,0.3279,229
0.764,0.3278,978
3.1091,0.3276,812
1.337,0.3272,1216
3.967,0.3270,1065
5.1249,0.3268,1226
5.1544,0.3268,1344
5.891,0.3267,834
3.404,0.3260,583
3.649,0.3257,1037
5.1317,0.3253,388
3.12,0.3245,109
3.999,0.3239,141
2.901,0.3216,490
5.1322,0.3215,870
5.1429,0.3204,144
3.1204,0.3199,429
5.109,0.3198,308
4.932,0.3185,485
4.930,0.3179,374
4.165,0.3178,92
1.338,0.3175,144
3.1346,0.3174,346
3.1455,0.3174,901
4.1134,0.3167,1007
4.1132,0.3161,219
1.1056,0.3153,101
3.412,0.3152,145
1.393,0.3151,306
2.902,0.3146,88
4.1182,0.3144,245
5.490,0.3142,478
2.273,0.3140,186
1.601,0.3138,264
4.1498,0.3137,95
3.1459,0.3124,167
5.415,0.3114,88
0.192,0.3099,374
5.1555,0.3081,162
5.898,0.3059,283
4.1395,0.3021,143
3.1202,0.2965,354
5.491,0.2902,135
0.193,0.2901,140
3.951,0.2899,79
4.1248,0.2861,152
5.492,0.2799,93
4.1396,0.2706,94
5.927,0.2686,187
3.1092,0.2652,91
0.878,0.2616,129
5.1316,0.2607,104
4.931,0.2536,79

k = 22
,length,score
4.1388,0.9876,2235
1.388,0.9859,516
1.1555,0.9855,870
0.313,0.9855,1131
2.16,0.9843,133
1.1452,0.9837,714
3.1049,0.9836,1032
2.613,0.9831,915
3.588,0.9820,1056
4.1352,0.9814,1143
1.828,0.9807,957
0.1482,0.9807,1149
3.948,0.9804,690
1.1270,0.9801,921
0.600,0.9799,969
1.1228,0.9780,1126
1.1183,0.9764,1326
0.107,0.9760,858
5.602,0.9748,717
4.404,0.9745,576
1.695,0.9736,636
1.1309,0.9734,702
4.29,0.9713,798
1.624,0.9709,621
1.1185,0.9693,528
3.225,0.9688,756
1.384,0.9687,609
4.179,0.9671,1167
0.1105,0.9638,762
4.782,0.9614,339
2.924,0.9579,420
1.1019,0.9572,1410
3.1092,0.9549,534
5.1498,0.9525,231
5.941,0.9522,330
0.1143,0.9499,288
3.1518,0.9493,258
3.824,0.9460,339
1.485,0.9453,261
5.438,0.9450,195
4.226,0.9423,297
5.940,0.9410,690
3.1459,0.9410,292
0.781,0.9408,476
0.1329,0.9402,345
1.227,0.9377,317
3.316,0.9375,234
0.822,0.9364,285
0.747,0.9351,400
4.1042,0.9344,90
0.121,0.9337,207
4.1386,0.9317,852
5.760,0.9312,210
4.37,0.9289,258
0.1323,0.9287,162
3.183,0.9244,628
2.1059,0.9223,274
5.533,0.9215,819
3.1131,0.9203,315
2.333,0.9175,188
2.535,0.9119,469
3.1400,0.9094,278
2.707,0.9094,207
1.888,0.9073,105
0.317,0.9067,120
5.822,0.9061,147
4.1089,0.9057,106
2.1057,0.9047,88
2.482,0.9033,189
4.685,0.8992,177
2.801,0.8972,1092
3.162,0.8933,2850
2.249,0.8913,786
1.1460,0.8858,2055
4.633,0.8856,228
5.835,0.8833,252
4.717,0.8833,90
0.1282,0.8822,89
4.214,0.8821,156
2.1373,0.8804,180
0.166,0.8797,109
5.11,0.8784,159
2.224,0.8771,177
1.209,0.8765,153
2.1254,0.8750,92
0.389,0.8742,167
4.907,0.8723,154
2.1381,0.8721,961
2.1038,0.8710,153
0.1505,0.8669,618
1.13,0.8628,137
2.1403,0.8556,140
5.991,0.8551,99
0.452,0.8538,324
4.157,0.8488,636
0.985,0.8466,108
0.745,0.8411,96
2.414,0.8397,97
5.1232,0.8363,144
1.439,0.8312,96
0.770,0.8299,115
1.1273,0.8297,180
2.138,0.8204,94
4.595,0.8190,1182
1.1256,0.8175,533
4.453,0.8175,690
5.1174,0.8172,1734
5.697,0.8169,903
0.1038,0.8168,1050
5.855,0.8142,867
4.297,0.8137,649
4.1060,0.8117,1374
2.255,0.8078,999
3.1088,0.8055,801
4.1080,0.8039,90
5.571,0.8029,528
0.315,0.8007,831
4.1394,0.8005,318
4.240,0.7986,94
5.214,0.7970,94
4.955,0.7926,1149
3.1533,0.7914,718
0.1262,0.7869,164
2.1039,0.7856,369
1.195,0.7807,159
1.1247,0.7777,414
2.822,0.7766,396
5.574,0.7740,148
5.1382,0.7720,431
5.1027,0.7557,213
1.454,0.7452,1887
5.1252,0.7390,117
0.786,0.7364,146
2.1130,0.7338,987
0.360,0.7305,2118
3.745,0.7277,141
2.1350,0.7254,90
2.1052,0.7245,996
3.1031,0.7226,317
0.624,0.7198,513
5.1040,0.7190,153
0.910,0.7133,181
0.528,0.7054,175
0.746,0.7045,92
5.1107,0.6772,104
5.375,0.6722,282
2.1210,0.6614,89
3.180,0.6609,300
0.1022,0.6563,180
0.137,0.6559,927
0.79,0.6538,1014
2.127,0.6523,1293
1.948,0.6522,1128
0.71,0.6520,1005
0.850,0.6512,2885
0.184,0.6501,912
0.521,0.6488,435
0.1115,0.6467,414
5.1378,0.6452,228
2.860,0.6411,267
2.1274,0.6403,565
4.431,0.6355,643
4.1512,0.6289,613
1.492,0.6275,417
1.882,0.6268,901
4.1515,0.6240,1233
5.764,0.6235,235
5.455,0.6220,290
5.910,0.6215,183
0.504,0.6194,763
4.778,0.6174,448
1.402,0.6131,398
4.430,0.6128,909
0.980,0.6098,246
5.900,0.5986,120
4.721,0.5971,176
0.698,0.5968,130
4.267,0.5961,1180
4.1014,0.5959,97
4.1020,0.5909,156
1.1120,0.5875,175
3.186,0.5823,177
1.833,0.5796,268
0.23,0.5669,306
1.2,0.5629,137
2.85,0.5598,94
0.383,0.5398,88
5.1545,0.5299,426
4.757,0.5298,471
5.1004,0.4960,2292
4.1313,0.4931,688
0.904,0.4914,861
5.880,0.4912,1188
5.1188,0.4872,160
1.1000,0.4860,915
5.0,0.4859,2844
3.760,0.4843,1455
1.1100,0.4831,200
5.1614,0.4830,909
0.554,0.4828,294
4.798,0.4826,694
0.1004,0.4819,173
4.708,0.4796,1348
1.185,0.4784,383
5.382,0.4756,834
4.905,0.4733,348
2.412,0.4718,603
5.1113,0.4715,243
1.38,0.4708,841
3.1075,0.4703,468
5.1436,0.4683,348
5.1176,0.4664,216
0.963,0.4662,364
4.275,0.4647,231
4.48,0.4614,432
1.631,0.4555,391
4.1045,0.4552,480
3.826,0.4516,154
1.632,0.4486,300
5.1488,0.4427,969
1.1200,0.4419,120
1.1407,0.4349,969
4.707,0.4339,254
1.390,0.4328,95
3.781,0.4277,252
0.413,0.4224,129
1.526,0.4202,547
1.1065,0.4199,519
3.1078,0.4163,88
5.125,0.4149,131
4.712,0.4144,141
4.1013,0.4116,973
0.89,0.4035,298
4.949,0.3864,2364
3.1309,0.3667,159
4.689,0.3626,190
0.584,0.3488,156
4.1201,0.3469,542
0.347,0.3422,408
5.1367,0.3404,506
3.188,0.3381,1173
5.1131,0.3370,684
3.16,0.3345,162
4.1477,0.3337,552
0.174,0.3332,990
4.583,0.3331,1086
4.173,0.3315,464
4.1335,0.3303,1212
3.19,0.3301,330
3.1152,0.3301,942
3.1238,0.3300,465
4.1559,0.3299,1500
4.1469,0.3286,126
0.789,0.3278,972
1.387,0.3277,1374
3.1550,0.3267,1170
1.1050,0.3265,1143
0.957,0.3257,1031
4.1144,0.3255,2076
5.121,0.3253,484
0.233,0.3244,807
5.509,0.3218,738
4.174,0.3215,864
5.933,0.3211,831
0.1317,0.3205,932
5.1471,0.3198,138
1.97,0.3197,423
4.125,0.3183,1626
1.1416,0.3159,294
1.1587,0.3157,1506
3.442,0.3156,167
4.1187,0.3151,318
3.232,0.3148,300
2.292,0.3137,183
3.194,0.3136,361
1.634,0.3135,258
0.212,0.3130,1065
4.1266,0.3128,210
0.359,0.3126,161
3.536,0.3090,1321
5.732,0.3084,684
3.535,0.3058,106
4.1534,0.3008,255
0.235,0.2959,348
3.620,0.2820,111
0.906,0.2610,123

k = 25
,length,score
5.332,0.9875,2229
1.413,0.9857,510
4.789,0.9854,864
1.75,0.9854,1125
2.18,0.9840,130
0.1164,0.9836,708
1.385,0.9835,1026
2.630,0.9829,909
3.629,0.9819,1050
1.1346,0.9813,1137
0.1547,0.9806,1143
1.863,0.9806,951
1.156,0.9802,684
0.630,0.9798,963
1.1331,0.9791,915
1.1289,0.9779,1120
0.1311,0.9763,1320
5.436,0.9758,852
5.617,0.9756,711
1.1350,0.9742,570
1.730,0.9734,630
0.1438,0.9731,696
4.33,0.9712,795
1.655,0.9707,615
1.409,0.9698,603
1.1245,0.9690,522
3.241,0.9686,750
3.1142,0.9670,1161
0.1161,0.9635,732
4.825,0.9607,333
2.965,0.9572,414
1.1078,0.9570,1404
3.1157,0.9544,528
0.96,0.9513,324
5.1555,0.9512,225
4.618,0.9489,282
1.912,0.9451,333
1.513,0.9440,255
5.455,0.9433,189
0.281,0.9431,287
4.34,0.9422,294
4.1492,0.9405,684
0.1390,0.9392,339
2.386,0.9371,314
3.338,0.9359,228
3.1514,0.9351,279
4.1435,0.9342,846
0.134,0.9319,204
5.775,0.9316,204
4.46,0.9278,252
1.1000,0.9275,723
4.1225,0.9241,813
2.268,0.9227,351
2.1108,0.9214,271
3.1197,0.9196,309
1.1097,0.9181,162
4.542,0.9156,491
3.1582,0.9154,312
5.1573,0.9139,252
3.1121,0.9098,253
2.732,0.9075,201
4.1134,0.9057,106
5.274,0.9037,240
5.839,0.9032,141
2.495,0.9022,189
3.1131,0.9018,114
4.674,0.9011,222
2.827,0.8971,1086
3.176,0.8935,2844
2.265,0.8911,780
2.238,0.8892,171
1.1537,0.8864,2049
5.854,0.8825,246
3.138,0.8767,150
1.216,0.8760,147
0.407,0.8727,161
2.1440,0.8713,1087
3.702,0.8680,147
3.462,0.8669,618
5.318,0.8649,112
4.724,0.8628,801
5.12,0.8612,153
4.957,0.8572,145
4.124,0.8541,318
4.173,0.8498,630
1.1333,0.8402,174
5.1440,0.8376,102
0.216,0.8354,130
5.1176,0.8299,115
1.1317,0.8191,527
5.1141,0.8189,1176
1.1293,0.8184,684
4.780,0.8179,184
4.863,0.8171,1728
0.1092,0.8167,1044
5.713,0.8167,897
5.877,0.8140,861
4.318,0.8130,643
4.1102,0.8116,1368
2.269,0.8077,993
5.583,0.8056,522
3.1150,0.8053,795
4.1444,0.8029,312
4.109,0.8005,825
3.226,0.7926,1143
3.1601,0.7871,840
2.1088,0.7848,363
5.1435,0.7832,612
2.846,0.7762,390
5.1277,0.7761,138
4.339,0.7653,153
5.1540,0.7646,721
4.1280,0.7582,627
5.1069,0.7573,207
0.1003,0.7476,144
1.331,0.7407,111
2.1178,0.7352,981
1.480,0.7304,2112
5.439,0.7276,257
2.1103,0.7248,990
3.1067,0.7194,507
1.1305,0.7156,147
0.1160,0.6778,415
3.1161,0.6757,145
4.443,0.6705,276
0.1076,0.6614,174
2.397,0.6608,294
0.151,0.6558,921
4.1080,0.6537,1008
2.133,0.6521,1287
1.998,0.6520,1122
0.82,0.6519,999
0.884,0.6512,2879
5.365,0.6499,906
3.584,0.6492,429
0.1177,0.6485,408
